Tahun ,Bulan,Teknik Penjualan Advertising,Teknik Penjualan Open Table
2007,Januari,50,68
2007,Februari,47,54
2007,Maret,60,49
2007,April,68,53
2007,Mei,47,59
2007,Juni,38,44
2007,Juli,50,57
2007,Agustus,61,54
2007,September,40,48
2007,Oktober,55,42
2007,November,45,55
2007,Desember,47,46
2008,Januari,37,42
2008,Februari,46,43
2008,Maret,38,40
2008,April,53,57
2008,Mei,34,48
2008,Juni,32,45
2008,Juli,59,40
2008,Agustus,43,67
2008,September,30,54
2008,Oktober,32,30
2008,November,40,47
2008,Desember,50,39
2009,Januari,60,30
2009,Februari,37,47
2009,Maret,45,32
2009,April,46,53
2009,Mei,57,50
2009,Juni,43,59
2009,Juli,54,57
2009,Agustus,43,60
2009,September,47,43
2009,Oktober,60,55
2009,November,43,50
2009,Desember,32,40
2010,Januari,29,41
2010,Februari,30,42
2010,Maret,50,38
2010,April,60,31
2010,Mei,68,40
2010,Juni,43,48
2010,Juli,30,42
2010,Agustus,40,33
2010,September,48,42
2010,Oktober,38,50
2010,November,50,45
2010,Desember,45,47
2011,Januari,53,42
2011,Februari,48,57
2011,Maret,56,43
2011,April,60,53
2011,Mei,68,64
2011,Juni,78,80
2011,Juli,86,75
2011,Agustus,94,85
2011,September,84,96
2011,Oktober,89,100
2011,November,95,92
2011,Desember,104,102
2012,Januari,91,112
2012,Februari,120,99
2012,Maret,105,129
2012,April,115,118
2012,Mei,120,87
2012,Juni,101,129
2012,Juli,119,132
2012,Agustus,130,139
2012,September,135,124
2012,Oktober,145,137
2012,November,136,149
2012,Desember,147,132
2013,Januari,157,169
2013,Februari,167,166
2013,Maret,174,152
2013,April,162,143
2013,Mei,154,168
2013,Juni,160,152
2013,Juli,145,170
2013,Agustus,154,163
2013,September,166,142
2013,Oktober,143,154
2013,November,156,165
2013,Desember,167,173
2014,Januari,156,161
2014,Februari,142,154
2014,Maret,157,147
2014,April,143,158
2014,Mei,152,169
2014,Juni,170,153
2014,Juli,153,167
2014,Agustus,142,154
2014,September,157,142
2014,Oktober,132,136
2014,November,165,152
2014,Desember,142,167
2015,Januari,154,148
2015,Februari,136,140
2015,Maret,126,147
2015,April,142,135
2015,Mei,131,147
2015,Juni,148,168
2015,Juli,159,152
2015,Agustus,169,161
2015,September,178,171
2015,Oktober,152,169
2015,November,143,153
2015,Desember,150,141
2016,Januari,158,151
2016,Februari,170,163
2016,Maret,168,174
2016,April,189,176
2016,Mei,167,162
2016,Juni,176,159
2016,Juli,182,178
2016,Agustus,191,195
2016,September,198,189
2016,Oktober,201,190
2016,November,192,221
2016,Desember,230,217
2017,Januari,198,212
2017,Februari,247,220
2017,Maret,250,247
